query,intent
"please, don't ship my order, cancel it",order_cancellation
would you quick question ASAP,general_inquiry
I need to Technical specifications immediately,product_information
i want to change shipping address!,shipping_inquiry
Can I Shipping cost please,shipping_inquiry
I need to Payment stuck immediately,payment_issues
"please, cancel my order immediately!",order_cancellation
can i how does this work? thank you,general_inquiry
"hi, do you ship to my area? now",shipping_inquiry
Account settings,account_issues
"excuse me, first time customer",general_inquiry
Payment failed,payment_issues
"hi, please cancel my recent order!",order_cancellation
"please, air shipping?",shipping_inquiry
"Please, Please help me cancel my order right away",order_cancellation
i want to checkout error!,payment_issues
Would you I no longer want this order please,order_cancellation
I want to Order tracking!,order_status
would you i can't log in urgently,account_issues
"please, payment keeps failing thank you",payment_issues
could you account security concern please,account_issues
how do i i need help urgently,general_inquiry
"hey, delivery days thank you",shipping_inquiry
New here,general_inquiry
"Excuse me, Product reviews?",product_information
Dissatisfied customer,complaint
"please, where is my delivery? thanks",order_status
Credit not received immediately,refund_status
i would like to stop my order,order_cancellation
"excuse me, exchange policy urgently",return_exchange
I need assistance,general_inquiry
I want to file a complaint?,complaint
"hello, compare products",product_information
I need to When will I receive my order? thanks,order_status
"excuse me, shipping cost ASAP",shipping_inquiry
"hey, can you help me? thanks",general_inquiry
"hey, check refund status?",refund_status
Would you Is my order on the way? now,order_status
"Hi, Where is my package? immediately",order_status
How long for refund? please,refund_status
i would like to reset my password please,account_issues
"hello, how much is shipping?",shipping_inquiry
Product reviews,product_information
would you terrible customer service thank you,complaint
"hello, i want to track my package.",order_status
would you expedite my refund now,refund_status
I want to How do I cancel my order??,order_cancellation
How to return?.,return_exchange
i need to economy shipping right away,shipping_inquiry
is it possible to shipping rates.,shipping_inquiry
"hey, check my order status right away",order_status
i want to i want to cancel my order!,order_cancellation
"Hey, When was refund issued? thank you",refund_status
how do i has my package been dispatched?,order_status
Error during payment now,payment_issues
"hi, economy shipping!",shipping_inquiry
"hello, where is my order?!",order_status
"excuse me, my order is taking too long please",order_status
would you checkout error ASAP,payment_issues
"Hey, Not as described",complaint
i need to when will i receive my order? urgently,order_status
Can I Can you help me? please,general_inquiry
I want to Account recovery thank you,account_issues
"Hello, Profile update",account_issues
How do I Did my order ship yet? thank you,order_status
"excuse me, i need to cancel asap",order_cancellation
Can I Shipping options?,shipping_inquiry
is it possible to payment not accepted,payment_issues
can i dissatisfied customer,complaint
how do i return damaged product urgently,return_exchange
can i shipping time urgently,shipping_inquiry
i would like to my order is taking too long thanks,order_status
"excuse me, money back please ASAP",refund_status
"hi, can't process my payment?",payment_issues
can i can't access my account now,account_issues
i would like to the product is broken?,complaint
Could you Checkout error,payment_issues
Would you Cancel my order immediately thank you,order_cancellation
would you cancel my order immediately right away,order_cancellation
i would like to i'd like to cancel my purchase?,order_cancellation
I need to Exchange for store credit ASAP,return_exchange
Would you Payment method not working please,payment_issues
"hey, don't ship my order, cancel it!",order_cancellation
"hi, free returns? thank you",return_exchange
Is my order on the way? right away,order_status
I would like to Payment failed immediately,payment_issues
Problem with checkout,payment_issues
"hello, shipping time thanks",shipping_inquiry
"Wrong size, need exchange",return_exchange
i want to full refund please thank you,refund_status
I want to Return pickup thank you,return_exchange
"Hi, Quick question.",general_inquiry
Expedited shipping right away,shipping_inquiry
could you card declined ASAP,payment_issues
how do i next day delivery thanks,shipping_inquiry
can i i'm frustrated ASAP,complaint
can i track my recent order urgently,order_status
i would like to i want to send this back urgently,return_exchange
"Hello, Please help me cancel my order thanks",order_cancellation
Would you I need to cancel an order,order_cancellation
could you can i still cancel my order?!,order_cancellation
I need to More info about the item immediately,product_information
"how do i i accidentally ordered, please cancel immediately",order_cancellation
i want to double charged on my card ASAP,payment_issues
"Hi, Cancel my order please please",order_cancellation
can i best seller products thank you,product_information
how do i dissatisfied customer ASAP,complaint
can i has my order shipped? please,order_status
i would like to track my recent order?,order_status
could you product doesn't work right away,complaint
i would like to login credentials not working thank you,account_issues
I want to Reimburse me,refund_status
"hi, hello",general_inquiry
can i ship to different address urgently,shipping_inquiry
"hello, change my phone number urgently",account_issues
"hi, start a return right away",return_exchange
would you general assistance thank you,general_inquiry
How do I Can someone help me? thank you,general_inquiry
how do i can you cancel my order for me?.,order_cancellation
"Please, Has my order shipped? ASAP",order_status
I need to Payment problem immediately,payment_issues
Could you What's the warranty on this? thank you,product_information
Is it possible to When will I get my refund? right away,refund_status
I want to Email not recognized right away,account_issues
Would you Transaction failed?,payment_issues
"hello, item doesn't fit, return please now",return_exchange
"Hi, Create new password",account_issues
Is it possible to Help me please ASAP,general_inquiry
"please, thank you please",general_inquiry
Return shipping,return_exchange
Reimburse me immediately,refund_status
Would you Is my package lost? thanks,order_status
"Please, Can't complete payment thanks",payment_issues
I need to Free shipping? right away,shipping_inquiry
how do i shipping time urgently,shipping_inquiry
Delivery cost estimate.,shipping_inquiry
Is it possible to Update account information now,account_issues
i want to i want to revoke my order right away,order_cancellation
"hello, first time customer right away",general_inquiry
I want to My refund is delayed please,refund_status
Is it possible to Economy shipping right away,shipping_inquiry
"excuse me, transaction failed.",payment_issues
"Please, Exchange for different size thank you",return_exchange
is it possible to air shipping ASAP,shipping_inquiry
I want to Refund request status,refund_status
Refund pending urgently,refund_status
i would like to can i still cancel my order? ASAP,order_cancellation
How do I cancel my order? thanks,order_cancellation
is it possible to compare products now,product_information
Can I How much is shipping? ASAP,shipping_inquiry
Account hacked?,account_issues
i would like to when will i get my refund? thanks,refund_status
"please, product reviews right away",product_information
could you is this product good?,product_information
how do i what's the status of my order? immediately,order_status
"excuse me, can you track my order? now",order_status
would you economy shipping ASAP,shipping_inquiry
How does this work?,general_inquiry
"excuse me, item availability",product_information
is it possible to refund and return.,return_exchange
I want to I can't log in,account_issues
I need to Has my package been dispatched? thank you,order_status
i need to email not recognized ASAP,account_issues
Product description please,product_information
Could you Product quality urgently,product_information
i would like to change shipping address please,shipping_inquiry
Is it possible to Cancel the items in my order now,order_cancellation
could you i'd like to cancel my purchase.,order_cancellation
My refund is delayed immediately,refund_status
I want to Payment keeps failing ASAP,payment_issues
"hey, quality is very poor thank you",complaint
Would you Charged but no confirmation please,payment_issues
"Hello, Account suspended?",account_issues
"please, wrong item received thanks",complaint
I want to Credit not received thank you,refund_status
"excuse me, do you have this in stock?.",product_information
"hey, delivery fee ASAP",shipping_inquiry
would you when can i expect my delivery? thanks,order_status
could you i want my order cancelled today urgently,order_cancellation
"please, password reset ASAP",account_issues
"Hello, Return my order!",return_exchange
i would like to package tracking request.,order_status
"hey, two factor authentication issue.",account_issues
i want to schedule a return?,return_exchange
"hello, support request",general_inquiry
could you general assistance right away,general_inquiry
"hey, general question immediately",general_inquiry
could you delivery options thanks,shipping_inquiry
can i when was refund issued? thanks,refund_status
is it possible to i want to return this?,return_exchange
can i login problem thank you,account_issues
"hi, payment error thank you",payment_issues
"Please, Missing items in my order",complaint
Could you Can I return this product??,return_exchange
I want to Debit card declined?,payment_issues
would you customer support immediately,general_inquiry
"please, how do i cancel my order?!",order_cancellation
Would you How to use this product?!,product_information
"excuse me, compare products urgently",product_information
Standard shipping please,shipping_inquiry
Could you I'd like to cancel my purchase.,order_cancellation
"Hello, Payment problem right away",payment_issues
How do I I want to cancel my order thanks,order_cancellation
I want to track my package,order_status
can i priority shipping now,shipping_inquiry
"Hi, Shipping rates thank you",shipping_inquiry
"excuse me, what's included in the package? please",product_information
I want to Exchange for store credit thanks,return_exchange
Refund not received,refund_status
can i brand information now,product_information
"hi, product features immediately",product_information
"excuse me, account suspended.",account_issues
how do i ground shipping?,shipping_inquiry
Would you I can't log in urgently,account_issues
Can someone help me?,general_inquiry
"hey, shipment status thanks",order_status
Merge accounts right away,account_issues
i would like to do you ship to my area? please,shipping_inquiry
Would you Worst experience ever thank you,complaint
Can I How do I cancel my order? right away,order_cancellation
Please cancel my recent order,order_cancellation
could you can someone help me? now,general_inquiry
I want to Product features!,product_information
"Please, Start a return now",return_exchange
Initiate return,return_exchange
how do i contact information urgently,general_inquiry
"please, help with payment problem thank you",payment_issues
Can I I need information!,general_inquiry
"hi, change my phone number!",account_issues
I want to I'm not satisfied right away,complaint
I want to I want to cancel the order I just placed thanks,order_cancellation
is it possible to false advertising ASAP,complaint
"please, i need to complain?",complaint
can i the product is broken,complaint
"hi, material information now",product_information
could you i haven't received my order yet!,order_status
is it possible to refund not showing now,refund_status
"excuse me, create new password right away",account_issues
is it possible to refund pending!,refund_status
i would like to my account is blocked immediately,account_issues
Track my recent order please,order_status
"excuse me, same day delivery now",shipping_inquiry
could you return pickup.,return_exchange
"hi, i haven't received my order yet thanks",order_status
is it possible to do you ship to my area??,shipping_inquiry
I need to Weekend delivery?.,shipping_inquiry
i want to update my email now,account_issues
"Excuse me, Profile update.",account_issues
"How do I Wrong size, need exchange please",return_exchange
would you same day delivery!,shipping_inquiry
"Please, I need to cancel ASAP thanks",order_cancellation
would you problem with checkout,payment_issues
"hey, is this item available?!",product_information
"hi, is this compatible with...?",product_information
"Please, When can I expect my delivery?.",order_status
Would you Refund status?,refund_status
is it possible to shipping methods right away,shipping_inquiry
Would you Payment unsuccessful ASAP,payment_issues
I need to Billing issue please,payment_issues
"hi, refund status urgently",refund_status
Is it possible to Reset my password thank you,account_issues
"excuse me, shipping discount!",shipping_inquiry
can i is my package lost??,order_status
"please, how long for refund??",refund_status
"Hey, Where is my package??",order_status
I need to 30 day return now,return_exchange
Please void my order,order_cancellation
How do I Sign in issues thank you,account_issues
"hi, priority shipping thank you",shipping_inquiry
i want to track my recent order urgently,order_status
i would like to money back please.,refund_status
How to use this product? ASAP,product_information
Would you Brand information now,product_information
"hey, shipping zones",shipping_inquiry
"hi, authentication failed?",account_issues
could you debit card declined!,payment_issues
Is it possible to Product description please please,product_information
"Please, I need assistance now",general_inquiry
Is it possible to How can I contact you? now,general_inquiry
"please, can't access my account immediately",account_issues
can i cancel my order please please,order_cancellation
"excuse me, login credentials not working",account_issues
"Please, Thank you urgently",general_inquiry
Could you When will my order arrive?,order_status
"Please, Refund taking too long please",refund_status
"hello, profile update",account_issues
I need to Shipping time urgently,shipping_inquiry
i want to my account is blocked!,account_issues
My order hasn't arrived immediately,order_status
"I would like to I accidentally ordered, please cancel immediately",order_cancellation
how do i i want to track my package,order_status
"please, good morning!",general_inquiry
"Excuse me, This is not what I ordered?",complaint
i want to profile update!,account_issues
would you technical specifications,product_information
Hello urgently,general_inquiry
How do I Is this compatible with...? urgently,product_information
"hey, card not accepted please",payment_issues
is it possible to hello now,general_inquiry
"would you wrong order, please cancel?",order_cancellation
Would you My payment was rejected now,payment_issues
I want to Create new password thanks,account_issues
"hello, checkout error!",payment_issues
"Excuse me, Business hours thank you",general_inquiry
I want to Quick question now,general_inquiry
could you card declined urgently,payment_issues
"Item doesn't fit, return please thank you",return_exchange
"excuse me, delivery cost estimate thanks",shipping_inquiry
I need to Product origin urgently,product_information
"Hey, Free delivery threshold.",shipping_inquiry
"hey, human agent please right away",general_inquiry
i would like to cancellation request for my order immediately,order_cancellation
"hey, can you track my order? thank you",order_status
could you product origin thanks,product_information
"Hello, Shipping discount immediately",shipping_inquiry
New arrivals right away,product_information
"hello, return window immediately",return_exchange
"excuse me, good morning ASAP",general_inquiry
is it possible to where is my refund? right away,refund_status
i need to business hours thank you,general_inquiry
How do I My account is blocked thanks,account_issues
"Hi, Contact information?",general_inquiry
"hi, my order is taking too long now",order_status
I would like to Shipping rates?,shipping_inquiry
can i when will my order arrive? now,order_status
i want to delivery status please please,order_status
Could you I need this order cancelled please,order_cancellation
I would like to How can I contact you?.,general_inquiry
Account locked,account_issues
"hi, shipping rates",shipping_inquiry
"hi, product quality thank you",product_information
can i i want to cancel my order urgently,order_cancellation
Would you Can you help me? ASAP,general_inquiry
"please, speak to representative?",general_inquiry
"Hello, First time customer.",general_inquiry
Is it possible to Expected delivery date? please,order_status
"excuse me, wrong order, please cancel thanks",order_cancellation
I want to I want my order cancelled today immediately,order_cancellation
"hi, worst experience ever immediately",complaint
Can I Refund status now,refund_status
"Hello, Authentication failed.",account_issues
is it possible to same day delivery right away,shipping_inquiry
"excuse me, good afternoon thanks",general_inquiry
i want to delete my account.,account_issues
"hey, transaction failed.",payment_issues
i want to help with payment problem right away,payment_issues
How much is shipping?.,shipping_inquiry
I want to I want to return this now,return_exchange
"excuse me, partial refund received thank you",refund_status
"Hello, False advertising right away",complaint
i need to expedited shipping thank you,shipping_inquiry
Schedule a return,return_exchange
Would you This is fraud please,complaint
i want to refund not received thanks,refund_status
i want to i'd like to cancel before it ships right away,order_cancellation
"Hello, Product reviews!",product_information
Exchange for different size,return_exchange
"hello, standard shipping thanks",shipping_inquiry
"excuse me, schedule a return ASAP",return_exchange
"Hi, Shipping cost please",shipping_inquiry
Would you Return process urgently,return_exchange
would you where is my package?,order_status
is it possible to i'm not satisfied right away,complaint
would you how does this product work?,product_information
would you reset my password ASAP,account_issues
Can I When will I get my refund?,refund_status
"hello, track my order immediately",order_status
I need to I received a damaged item urgently,complaint
i want to when will i receive my order? thank you,order_status
How do I My order hasn't arrived?,order_status
could you please process a cancellation right away,order_cancellation
"hi, can i cancel my order?.",order_cancellation
"Hello, General assistance?",general_inquiry
"Hi, Brand information thank you",product_information
"Hey, Delivery days!",shipping_inquiry
How do I Can you help me? immediately,general_inquiry
I want to New here now,general_inquiry
Could you Delivery fee immediately,shipping_inquiry
could you refund status.,refund_status
Could you Payment problem.,payment_issues
Credit not received thank you,refund_status
"Hi, I accidentally ordered, please cancel ASAP",order_cancellation
"hey, very bad service.",complaint
"hey, refund inquiry please",refund_status
Would you Account not working right away,account_issues
Exchange for store credit.,return_exchange
i want to general help immediately,general_inquiry
i want to refund not showing!,refund_status
"hi, quality is very poor urgently",complaint
would you fastest shipping option thanks,shipping_inquiry
I want to cancel my order thank you,order_cancellation
I would like to I haven't received my refund thank you,refund_status
i want to waiting for refund!,refund_status
how do i what's included in the package? thank you,product_information
"Would you I accidentally ordered, please cancel.",order_cancellation
"excuse me, standard shipping",shipping_inquiry
can i what products do you have? thank you,product_information
Can you help me?,general_inquiry
"hi, i need assistance right away",general_inquiry
"hello, initiate return!",return_exchange
"Please, Checkout error thanks",payment_issues
how do i what are the product details? now,product_information
"excuse me, can you cancel my order for me? thanks",order_cancellation
how do i return pickup.,return_exchange
i want to cancel order please,order_cancellation
would you general assistance ASAP,general_inquiry
how do i new here,general_inquiry
"Is it possible to Wrong order, please cancel please",order_cancellation
i need to check my order status please,order_status
would you verification code not received,account_issues
Can I Quality issue return please,return_exchange
i need to i need this order cancelled thank you,order_cancellation
"hello, i have a question please",general_inquiry
"hi, password reset thanks",account_issues
"Please, Return shipping?",return_exchange
Would you Update account information right away,account_issues
Transaction failed.,payment_issues
Charged but no confirmation urgently,payment_issues
could you what's included in the package?!,product_information
i would like to initiate return thank you,return_exchange
i need to when will my order arrive? ASAP,order_status
would you shipping zones ASAP,shipping_inquiry
would you what happened to my order? thank you,order_status
How do I Login credentials not working thank you,account_issues
"Please, Partial refund received ASAP",refund_status
"hello, expedited shipping please",shipping_inquiry
could you product quality,product_information
i need to problem with checkout ASAP,payment_issues
how do i charged but no confirmation?,payment_issues
would you help with payment problem,payment_issues
I was charged twice right away,payment_issues
"Please, How long for refund?!",refund_status
is it possible to material information.,product_information
Worst experience ever immediately,complaint
Would you I was charged twice,payment_issues
How do I Delivery days?,shipping_inquiry
"hey, cancellation request for my order immediately",order_cancellation
Shipping charges right away,shipping_inquiry
how do i account locked?,account_issues
"please, more info about the item",product_information
how do i can't pay for my order ASAP,payment_issues
"hello, i need to complain",complaint
would you free delivery threshold urgently,shipping_inquiry
i would like to i received a damaged item ASAP,complaint
can i account not working ASAP,account_issues
"Please, Unlock my account?",account_issues
i need to return label request,return_exchange
would you free shipping??,shipping_inquiry
Could you Card declined immediately,payment_issues
is it possible to replace my item now,return_exchange
Customer support.,general_inquiry
how do i update account information now,account_issues
can i cancel my order please,order_cancellation
"excuse me, product dimensions thanks",product_information
Could you Can I return this product? right away,return_exchange
"hello, thank you?",general_inquiry
"Please, Account security concern immediately",account_issues
I want to How to return? thanks,return_exchange
"hello, return request ASAP",return_exchange
"hello, how does this work?",general_inquiry
"Please, Can I still cancel my order?.",order_cancellation
can i start a return?,return_exchange
Would you Can't complete payment right away,payment_issues
I want to Fastest shipping option?,shipping_inquiry
Can I Item arrived damaged,complaint
could you expedited shipping thank you,shipping_inquiry
i need to check refund status immediately,refund_status
How do I My payment didn't go through urgently,payment_issues
"hi, help with payment problem please",payment_issues
Refund to bank account please,refund_status
"excuse me, how long for refund? thanks",refund_status
Product recommendations right away,product_information
"hey, item arrived damaged",complaint
i want to refund amount incorrect thanks,refund_status
would you missing items in my order thank you,complaint
could you can't pay for my order immediately,payment_issues
is it possible to refund request status.,refund_status
"Hello, My order hasn't arrived immediately",order_status
"hello, account hacked right away",account_issues
Two factor authentication issue,account_issues
could you please cancel my recent order please,order_cancellation
can i account not working right away,account_issues
I want to Refund taking too long please,refund_status
"Excuse me, Standard shipping urgently",shipping_inquiry
i need to payment error.,payment_issues
would you i'd like to exchange right away,return_exchange
How do I Quality issue return!,return_exchange
how do i is this product good??,product_information
Checkout error,payment_issues
Would you Return pickup.,return_exchange
"I would like to I accidentally ordered, please cancel",order_cancellation
Support request!,general_inquiry
"hello, credit card issue?",payment_issues
I want to Partial refund received?,refund_status
"hello, has my package been dispatched? please",order_status
is it possible to shipping zones immediately,shipping_inquiry
"Hey, Can I return this product?!",return_exchange
"hello, when will i get my refund? right away",refund_status
how do i material information thanks,product_information
would you problem with checkout ASAP,payment_issues
"Hi, Money back please ASAP",refund_status
"hello, general question urgently",general_inquiry
i would like to first time customer right away,general_inquiry
Could you Track my refund ASAP,refund_status
i need to i want to cancel the order i just placed urgently,order_cancellation
"Hi, Initiate return right away",return_exchange
"excuse me, when will my order arrive? thanks",order_status
Is it possible to Money deducted but order failed right away,payment_issues
"please, card not accepted ASAP",payment_issues
Can I Help with payment problem ASAP,payment_issues
i would like to item arrived damaged thanks,complaint
i want to credit card issue thanks,payment_issues
Refund status,refund_status
how do i free shipping? right away,shipping_inquiry
"hello, where is my delivery?.",order_status
Is it possible to Material information right away,product_information
Return damaged product thank you,return_exchange
is it possible to i need help now,general_inquiry
"Hi, Shipping zones urgently",shipping_inquiry
I want to Can't access my account.,account_issues
I need to First time customer thank you,general_inquiry
"Hey, General question",general_inquiry
Would you Order tracking now,order_status
"Hey, My refund is delayed urgently",refund_status
"hello, shipping charges?",shipping_inquiry
is it possible to same day delivery please,shipping_inquiry
how do i return my order thank you,return_exchange
would you expected delivery date?!,order_status
Refund to credit card.,refund_status
Can I Hi there ASAP,general_inquiry
Can I Return process.,return_exchange
Cancellation request for my order,order_cancellation
I feel cheated,complaint
"Please, Poor quality product?",complaint
i want to shipping rates.,shipping_inquiry
could you problem with checkout thank you,payment_issues
how do i what's the warranty on this? immediately,product_information
Would you What's included in the package?!,product_information
"hello, refund amount incorrect thanks",refund_status
could you did my order ship yet? ASAP,order_status
Delete my account ASAP,account_issues
"please, return my order urgently",return_exchange
Would you Refund not showing now,refund_status
I need to Problem with checkout!,payment_issues
"hi, please help me cancel my order thanks",order_cancellation
"Hi, Worst experience ever!",complaint
"hello, i want to file a complaint please",complaint
Is it possible to I want to cancel my order please,order_cancellation
is it possible to i want to cancel the order i just placed right away,order_cancellation
could you merge accounts!,account_issues
can i product is defective urgently,complaint
"hello, change password ASAP",account_issues
I was charged twice,payment_issues
would you fastest shipping option right away,shipping_inquiry
Could you Product doesn't work thanks,complaint
"Hi, Expedited shipping ASAP",shipping_inquiry
"hey, waiting for refund",refund_status
Is it possible to Is this product good? please,product_information
"hey, password reset now",account_issues
"hey, unlock my account",account_issues
"hey, business hours",general_inquiry
I need to When will my order arrive?.,order_status
"please, refund pending.",refund_status
Is anyone there? now,general_inquiry
could you new arrivals urgently,product_information
i would like to when can i expect my delivery? now,order_status
Could you Item arrived damaged right away,complaint
Hi there urgently,general_inquiry
"Excuse me, General assistance thank you",general_inquiry
Can I Checkout error?,payment_issues
"Please, Refund to bank account urgently",refund_status
"excuse me, i want to speak to a manager thanks",complaint
i need to i need customer service right away,general_inquiry
"hello, connect me to support urgently",general_inquiry
would you how do i return an item?!,return_exchange
could you i no longer want this order right away,order_cancellation
Could you I want to speak to a manager immediately,complaint
"hi, sign in issues",account_issues
"hey, speak to representative immediately",general_inquiry
I need to Product specifications?,product_information
"hello, where is my package? now",order_status
"Wrong order, please cancel",order_cancellation
How do I Quality is very poor please,complaint
When does my order arrive?,order_status
"Hey, I need information now",general_inquiry
I need to Check my order status ASAP,order_status
i want to product recommendations right away,product_information
Would you I need to complain please,complaint
"please, speak to representative.",general_inquiry
would you return policy thanks,return_exchange
i want to checkout error thank you,payment_issues
Cancellation request for my order ASAP,order_cancellation
Could you What's the warranty on this?.,product_information
i want to my payment was rejected!,payment_issues
"excuse me, human agent please!",general_inquiry
how do i i need to complain please,complaint
Can I New arrivals please,product_information
"hi, is this item available?",product_information
i want to my order hasn't arrived.,order_status
"hey, what colors does it come in? ASAP",product_information
i would like to refund amount incorrect thanks,refund_status
"please, payment unsuccessful urgently",payment_issues
"excuse me, shipping discount.",shipping_inquiry
Update account information urgently,account_issues
"excuse me, how to use this product? urgently",product_information
"Excuse me, Return pickup!",return_exchange
"please, account suspended.",account_issues
could you return request immediately,return_exchange
how do i i need to cancel asap!,order_cancellation
I want to Track my refund immediately,refund_status
"hi, product is defective ASAP",complaint
"Excuse me, Wrong size, need exchange ASAP",return_exchange
"Please, I need information right away",general_inquiry
Is it possible to Free shipping? please,shipping_inquiry
"excuse me, worst experience ever please",complaint
I need to More info about the item,product_information
"hi, is it too late to cancel? thank you",order_cancellation
I need to How does this work? urgently,general_inquiry
i want to money deducted but order failed!,payment_issues
"hey, where is my package? thanks",order_status
could you very disappointed with the service.,complaint
I would like to When will I receive my order? immediately,order_status
can i how to use this product? ASAP,product_information
"please, this is unacceptable?",complaint
can i do you have this in stock?!,product_information
i need to account locked thanks,account_issues
"hello, is this genuine product? urgently",product_information
"Please, Change password",account_issues
Order tracking please,order_status
How do I Can't access my account ASAP,account_issues
"excuse me, payment method not working please",payment_issues
Is it possible to Is this compatible with...? thanks,product_information
"Please, Product doesn't work!",complaint
I would like to First time customer ASAP,general_inquiry
"hello, exchange for store credit thanks",return_exchange
how do i i'm frustrated thanks,complaint
"Hi, Can you cancel my order for me? thank you",order_cancellation
Contact information,general_inquiry
"please, credit card issue thanks",payment_issues
Can I Refund not received now,refund_status
"excuse me, what colors does it come in? now",product_information
"Please, Someone else accessing my account?",account_issues
"Hi, Refund and return thanks",return_exchange
I need to My payment was rejected urgently,payment_issues
i would like to expected delivery date? right away,order_status
i would like to hi there thanks,general_inquiry
could you this is unacceptable now,complaint
"Please, Please cancel my recent order.",order_cancellation
"can i i changed my mind, cancel my order ASAP",order_cancellation
"Hello, This is fraud!",complaint
could you delivery cost estimate,shipping_inquiry
"hi, business hours?",general_inquiry
