query,intent
"excuse me, refund to bank account urgently",refund_status
Refund status please,refund_status
i need to i feel cheated now,complaint
can i product is defective urgently,complaint
"hello, item doesn't fit, return please now",return_exchange
how do i free shipping? right away,shipping_inquiry
i want to delivery status please please,order_status
"Excuse me, When will I receive my order?",order_status
i need to problem with checkout now,payment_issues
Business hours now,general_inquiry
"please, schedule a return please",return_exchange
I need to Product doesn't work thank you,complaint
"hello, i haven't received my order yet now",order_status
"hey, ship to different address.",shipping_inquiry
"please, refund to bank account",refund_status
can i login problem thank you,account_issues
I want to Refund inquiry now,refund_status
could you cancel my order immediately immediately,order_cancellation
"hey, good afternoon thank you",general_inquiry
how do i best seller products!,product_information
i want to new arrivals.,product_information
could you what's the warranty on this? ASAP,product_information
"excuse me, i want to revoke my order right away",order_cancellation
Hello immediately,general_inquiry
i want to missing items in my order ASAP,complaint
Please cancel my recent order,order_cancellation
could you expected delivery date? please,order_status
Double charged on my card ASAP,payment_issues
How do I Refund timeline right away,refund_status
would you how does this product work?,product_information
Is it possible to I need my money back urgently,refund_status
I need to Change shipping address.,shipping_inquiry
"hello, i want to revoke my order thank you",order_cancellation
would you can't complete payment immediately,payment_issues
"would you don't ship my order, cancel it!",order_cancellation
"hello, i accidentally ordered, please cancel immediately",order_cancellation
Can I Account hacked?,account_issues
"Hello, Refund to credit card now",refund_status
i need to product recommendations urgently,product_information
"Wrong order, please cancel",order_cancellation
I want to What's the warranty on this?!,product_information
how do i full refund please!,refund_status
I need to Payment problem.,payment_issues
"Is it possible to Item doesn't fit, return please!",return_exchange
i need to payment method not working please,payment_issues
How to use this product? ASAP,product_information
Payment keeps failing,payment_issues
is it possible to human agent please immediately,general_inquiry
i would like to shipping time right away,shipping_inquiry
Is it possible to How can I contact you? now,general_inquiry
"hi, sign in issues",account_issues
"please, can't access my account thank you",account_issues
I want to Do you ship to my area? thanks,shipping_inquiry
"Wrong order, please cancel!",order_cancellation
I want to Package tracking request ASAP,order_status
Can I Support request urgently,general_inquiry
I would like to Change my phone number,account_issues
"Hello, Priority shipping?",shipping_inquiry
i would like to partial refund received thanks,refund_status
"please, stop my order please",order_cancellation
i would like to return shipping.,return_exchange
"Please, Account security concern immediately",account_issues
"Hey, I want to revoke my order!",order_cancellation
"excuse me, update my email right away",account_issues
would you dissatisfied customer right away,complaint
"please, brand information thanks",product_information
"excuse me, product doesn't work immediately",complaint
"Excuse me, When can I expect my delivery?.",order_status
i need to refund request status urgently,refund_status
could you merge accounts!,account_issues
Could you How to use this product?,product_information
"hey, information needed please",general_inquiry
"hello, checkout error.",payment_issues
I want to New here right away,general_inquiry
"please, can't access my account?",account_issues
Is it possible to Standard shipping urgently,shipping_inquiry
"Hey, What's included in the package?",product_information
"i need to wrong size, need exchange urgently",return_exchange
Can I Payment error.,payment_issues
i would like to refund timeline!,refund_status
I would like to Very bad service ASAP,complaint
Would you How to use this product?!,product_information
i need to how does this product work? please,product_information
Please help me cancel my order,order_cancellation
"hey, ground shipping urgently",shipping_inquiry
"hi, can i swap this? now",return_exchange
"Excuse me, Return pickup!",return_exchange
i would like to shipping charges ASAP,shipping_inquiry
"hi, economy shipping!",shipping_inquiry
Could you Can someone help me?.,general_inquiry
"Hey, Can I return this product?!",return_exchange
Would you Money back please now,refund_status
i would like to exchange for different size right away,return_exchange
could you can someone help me?.,general_inquiry
"hello, refund status right away",refund_status
"Please, Payment method not working?",payment_issues
i would like to i want my order cancelled today thanks,order_cancellation
could you is my order on the way? now,order_status
I want to Account security concern please,account_issues
"Excuse me, Delete my account.",account_issues
would you new arrivals please,product_information
Is it possible to How does this work? urgently,general_inquiry
"hi, hi there urgently",general_inquiry
is it possible to new arrivals!,product_information
Can I Refund not showing right away,refund_status
Could you I'd like to cancel before it ships thanks,order_cancellation
can i i want to track my package,order_status
"please, i need customer service.",general_inquiry
"excuse me, payment stuck thank you",payment_issues
"please, i haven't received my refund.",refund_status
"hello, product doesn't work please",complaint
"Hi, Unlock my account.",account_issues
"Excuse me, Login problem thanks",account_issues
"Hey, Refund not received ASAP",refund_status
Product is defective thanks,complaint
can i not as described right away,complaint
I want to 30 day return now,return_exchange
"Hey, Create new password urgently",account_issues
would you free delivery threshold urgently,shipping_inquiry
"hello, what colors does it come in?",product_information
"hey, refund and return urgently",return_exchange
i want to general assistance please,general_inquiry
i need to expected delivery date?!,order_status
What's included in the package?,product_information
I want to I want to revoke my order immediately,order_cancellation
"Can I Wrong size, need exchange now",return_exchange
Can I Change shipping address.,shipping_inquiry
would you can't pay for my order.,payment_issues
could you shipment status please,order_status
"please, verification code not received.",account_issues
"hey, did my order ship yet? immediately",order_status
"Excuse me, Tell me about this product urgently",product_information
"Please, Refund not showing",refund_status
would you my payment didn't go through!,payment_issues
More info about the item,product_information
would you free shipping?!,shipping_inquiry
could you can't pay for my order immediately,payment_issues
"hey, this is fraud thanks",complaint
Could you Error during payment.,payment_issues
"excuse me, has my package been dispatched? immediately",order_status
"hi, product reviews immediately",product_information
"Excuse me, Do you ship to my area?.",shipping_inquiry
Product features right away,product_information
I need to I demand compensation?,complaint
Exchange for store credit,return_exchange
i would like to package tracking request.,order_status
Would you Reimburse me immediately,refund_status
I want to When will I get my refund? immediately,refund_status
Unlock my account,account_issues
i would like to quality issue return,return_exchange
This is fraud now,complaint
Could you General question right away,general_inquiry
How do I How to return? now,return_exchange
"hey, more info about the item right away",product_information
Account locked now,account_issues
can i when will my order arrive? now,order_status
could you product specifications immediately,product_information
Payment method not working,payment_issues
"hey, standard shipping please",shipping_inquiry
"I want to I accidentally ordered, please cancel right away",order_cancellation
i need to exchange for store credit right away,return_exchange
How do I I can't log in thank you,account_issues
"Hello, Air shipping please",shipping_inquiry
Can I How does this work? immediately,general_inquiry
how do i payment gateway error immediately,payment_issues
"Wrong size, need exchange.",return_exchange
is it possible to good afternoon.,general_inquiry
is it possible to cancel my latest purchase.,order_cancellation
how do i update account information urgently,account_issues
How do I Can't process my payment?,payment_issues
is it possible to refund and return.,return_exchange
i want to payment keeps failing thank you,payment_issues
How do I Refund taking too long immediately,refund_status
Is it possible to Order tracking urgently,order_status
is it possible to material information.,product_information
i need to verification code not received immediately,account_issues
is it possible to free delivery threshold right away,shipping_inquiry
i need to has my order shipped??,order_status
I need to Horrible experience right away,complaint
"hey, two factor authentication issue now",account_issues
"Excuse me, 30 day return",return_exchange
Can I Item arrived damaged,complaint
how do i what products do you have? ASAP,product_information
i want to this is unacceptable,complaint
Could you Return pickup?,return_exchange
can i someone else accessing my account?,account_issues
"Hello, Transaction failed ASAP",payment_issues
"hey, i want to revoke my order immediately",order_cancellation
"hey, i need to know where my order is urgently",order_status
i want to how does this work? right away,general_inquiry
I would like to Customer support immediately,general_inquiry
I need to Is my package lost? urgently,order_status
Would you Please cancel my recent order thanks,order_cancellation
how do i billing issue,payment_issues
"hello, i need this order cancelled right away",order_cancellation
How do I Item arrived damaged immediately,complaint
Card declined,payment_issues
"please, can't complete payment thanks",payment_issues
i need to payment unsuccessful please,payment_issues
Information needed,general_inquiry
Delivery days,shipping_inquiry
I would like to I need to know where my order is urgently,order_status
is it possible to can i still cancel my order? thanks,order_cancellation
"excuse me, password reset?",account_issues
How do I Is it too late to cancel? thanks,order_cancellation
"excuse me, shipping rates ASAP",shipping_inquiry
could you i want to cancel the order i just placed!,order_cancellation
"hey, change shipping address?",shipping_inquiry
"Please, Free returns? urgently",return_exchange
"hi, can't complete payment!",payment_issues
I need my money back urgently,refund_status
i need to i need to complain ASAP,complaint
Product doesn't work,complaint
"hi, my refund is delayed.",refund_status
i would like to what happened to my order? right away,order_status
"hey, return process now",return_exchange
How do I Is this genuine product? please,product_information
could you delivery options thanks,shipping_inquiry
Can I Speak to representative thank you,general_inquiry
i want to my payment didn't go through right away,payment_issues
"excuse me, can you track my order? now",order_status
Account security concern,account_issues
Can you cancel my order for me?,order_cancellation
"hey, return pickup.",return_exchange
"please, wrong order, please cancel",order_cancellation
"hello, start a return please",return_exchange
i want to account recovery,account_issues
"please, bad experience thank you",complaint
"hi, what's the status of my order? ASAP",order_status
"hello, help me please thanks",general_inquiry
Would you Card declined please,payment_issues
Would you Error during payment?,payment_issues
"excuse me, shipping charges urgently",shipping_inquiry
can i account recovery now,account_issues
would you is my order on the way? immediately,order_status
I'm very unhappy immediately,complaint
is it possible to human agent please.,general_inquiry
is it possible to payment issue with my account!,payment_issues
can i i'd like to exchange immediately,return_exchange
would you refund and return immediately,return_exchange
could you my order hasn't arrived thanks,order_status
I have a question,general_inquiry
"hi, can someone help me??",general_inquiry
would you authentication failed ASAP,account_issues
"hi, product doesn't work right away",complaint
i want to first time customer,general_inquiry
Can I Refund processing time urgently,refund_status
would you very bad service thanks,complaint
i would like to can i still cancel my order? ASAP,order_cancellation
Could you Brand information!,product_information
Please void my order!,order_cancellation
My card isn't working please,payment_issues
I would like to Payment stuck thanks,payment_issues
"hi, i need to cancel an order urgently",order_cancellation
I want to Money back please thank you,refund_status
"hello, i demand compensation thanks",complaint
"hello, what colors does it come in? please",product_information
would you fastest shipping option thanks,shipping_inquiry
i would like to i want to file a complaint!,complaint
I need to Cancel order ASAP,order_cancellation
"excuse me, what's included in the package? please",product_information
"hey, payment keeps failing right away",payment_issues
i want to product features right away,product_information
"Could you Wrong order, please cancel!",order_cancellation
i want to is this genuine product?!,product_information
i want to what happened to my order? ASAP,order_status
"please, how to use this product? urgently",product_information
Would you I want to revoke my order ASAP,order_cancellation
how do i speak to representative ASAP,general_inquiry
"hi, refund inquiry immediately",refund_status
I would like to Shipping rates?,shipping_inquiry
"please, ground shipping right away",shipping_inquiry
Would you Weekend delivery? thanks,shipping_inquiry
I want to Refund not showing!,refund_status
"Hi, Account recovery now",account_issues
Password reset thank you,account_issues
Would you Checkout error immediately,payment_issues
"excuse me, is it too late to cancel? thank you",order_cancellation
how do i return shipping.,return_exchange
Worst experience ever now,complaint
could you i'm very unhappy,complaint
I need to cancel an order,order_cancellation
Product origin now,product_information
"hi, thank you now",general_inquiry
"hi, good morning immediately",general_inquiry
Delivery cost estimate.,shipping_inquiry
"excuse me, is my package lost? thank you",order_status
"excuse me, return window please",return_exchange
Is this product good?.,product_information
Payment issue with my account!,payment_issues
i need to shipment status!,order_status
Shipment status,order_status
i want to i want my order cancelled today immediately,order_cancellation
Would you Money deducted but order failed thanks,payment_issues
Could you When will my order arrive?,order_status
I need to Shipping cost,shipping_inquiry
Would you Transaction failed?,payment_issues
could you express shipping urgently,shipping_inquiry
"Hey, I need to complain now",complaint
is it possible to what's included in the package? thank you,product_information
can i forgot password please,account_issues
Is it possible to Dissatisfied customer,complaint
"hello, payment not accepted urgently",payment_issues
could you reset my password immediately,account_issues
Track my recent order,order_status
Can I Can I cancel my order??,order_cancellation
Account settings now,account_issues
how do i account security concern,account_issues
how do i air shipping thanks,shipping_inquiry
Return pickup,return_exchange
i need to package tracking request please,order_status
how do i i'm frustrated thanks,complaint
can i shipping charges please,shipping_inquiry
"Please, Account suspended ASAP",account_issues
"Hi, Expedited shipping ASAP",shipping_inquiry
Would you Cancel my order please thanks,order_cancellation
"Excuse me, Product reviews?",product_information
can i product recommendations thanks,product_information
how do i best seller products immediately,product_information
how do i full refund please ASAP,refund_status
Would you Delivery days thanks,shipping_inquiry
Expedite my refund,refund_status
how do i general help right away,general_inquiry
I want to Payment failed,payment_issues
"Hi, Air shipping ASAP",shipping_inquiry
i want to cancel order thank you,order_cancellation
Would you Brand information now,product_information
"please, my payment didn't go through!",payment_issues
"Hello, I need this order cancelled immediately",order_cancellation
Expedite my refund.,refund_status
i would like to the product is broken?,complaint
I want to Money deducted but order failed!,payment_issues
Free shipping?,shipping_inquiry
Payment unsuccessful,payment_issues
Would you I want to return this,return_exchange
"Hi, What products do you have? thanks",product_information
Would you Support request ASAP,general_inquiry
I would like to I haven't received my refund thank you,refund_status
I want to When does my order arrive?,order_status
Transaction failed.,payment_issues
"hey, return damaged product.",return_exchange
i would like to i no longer want this order?,order_cancellation
"hey, can i return this product? thank you",return_exchange
"hi, reset my password right away",account_issues
"hey, track my order urgently",order_status
"hi, is my package lost?!",order_status
Verification code not received,account_issues
"Excuse me, Delivery options urgently",shipping_inquiry
can i what's the warranty on this? please,product_information
"Hi, Any updates on my order? ASAP",order_status
Would you Track my order now,order_status
I would like to Payment failed immediately,payment_issues
Would you I'd like to cancel my purchase,order_cancellation
can i i received a damaged item?,complaint
"Hey, Express shipping ASAP",shipping_inquiry
"hello, charged but no confirmation urgently",payment_issues
would you what's the warranty on this? thanks,product_information
"Hey, Where is my package??",order_status
"Hi, Product origin.",product_information
Is it possible to Worst experience ever now,complaint
would you what products do you have? right away,product_information
would you connect me to support ASAP,general_inquiry
"excuse me, account not working right away",account_issues
"I want to Wrong size, need exchange",return_exchange
could you can i still cancel my order?!,order_cancellation
is it possible to what products do you have? urgently,product_information
"Hi, Email not recognized.",account_issues
"please, this is unacceptable?",complaint
I need to exchange this!,return_exchange
Cancel my latest purchase,order_cancellation
"please, password reset ASAP",account_issues
"Hello, How to use this product?",product_information
how do i waiting for refund,refund_status
would you best seller products,product_information
is it possible to return shipping thank you,return_exchange
i would like to i received a damaged item ASAP,complaint
Delivery fee?,shipping_inquiry
would you my payment was rejected right away,payment_issues
"excuse me, missing items in my order ASAP",complaint
How does this work? thank you,general_inquiry
"hey, priority shipping!",shipping_inquiry
Support request!,general_inquiry
can i how to return?!,return_exchange
"hi, refund timeline?",refund_status
Can I Schedule a return thanks,return_exchange
i want to i can't log in,account_issues
"hello, card not accepted thank you",payment_issues
"hey, cancellation request for my order thank you",order_cancellation
Hello urgently,general_inquiry
is it possible to refund to credit card!,refund_status
Would you Delivery cost estimate thanks,shipping_inquiry
would you this is not what i ordered thanks,complaint
is it possible to track my recent order!,order_status
can i product doesn't work immediately,complaint
"please, wrong item received thanks",complaint
Brand information,product_information
i need to business hours thank you,general_inquiry
could you check my order status please,order_status
"excuse me, the product is broken.",complaint
"Please, Item arrived damaged!",complaint
"hello, package tracking request",order_status
i need to charged but no confirmation thanks,payment_issues
i want to hello immediately,general_inquiry
My card isn't working?,payment_issues
"hello, poor quality product ASAP",complaint
would you when can i expect my delivery? thanks,order_status
would you check refund status immediately,refund_status
"Please, How does this product work? right away",product_information
"hello, when is refund processed?!",refund_status
is it possible to i need assistance.,general_inquiry
I need to Shipping charges urgently,shipping_inquiry
would you human agent please!,general_inquiry
could you hi there please,general_inquiry
Can I Refund inquiry right away,refund_status
"please, payment not accepted.",payment_issues
"i need to i accidentally ordered, please cancel!",order_cancellation
"hello, speak to representative.",general_inquiry
I want to Unlock my account ASAP,account_issues
"hey, login credentials not working immediately",account_issues
I would like to Can't complete payment thank you,payment_issues
How do I My account is blocked thanks,account_issues
would you return policy thanks,return_exchange
"hello, delivery days urgently",shipping_inquiry
"hello, payment problem please",payment_issues
"Please, Product specifications ASAP",product_information
i want to what are the product details??,product_information
i need to the product is broken ASAP,complaint
could you where is my refund?!,refund_status
"Please, Any updates on my order?",order_status
i want to how long for refund? urgently,refund_status
Would you Product malfunction ASAP,complaint
i would like to i want to speak to a manager?,complaint
"Hello, Please help me cancel my order thanks",order_cancellation
"Hey, Track my recent order urgently",order_status
Could you Product doesn't work thanks,complaint
"Hi, Update my email.",account_issues
Can I Can I swap this? urgently,return_exchange
Payment issue with my account ASAP,payment_issues
"can i wrong order, please cancel urgently",order_cancellation
"Excuse me, Free shipping? urgently",shipping_inquiry
how do i dissatisfied customer ASAP,complaint
"please, can you help me?.",general_inquiry
"hi, change shipping address now",shipping_inquiry
"excuse me, i was charged twice thanks",payment_issues
"Please, Money deducted but order failed thank you",payment_issues
When can I expect my delivery?,order_status
Merge accounts,account_issues
"hello, i'd like to cancel before it ships please",order_cancellation
How do I Do you have this in stock? thanks,product_information
I demand compensation,complaint
"please, thank you thank you",general_inquiry
"please, business hours right away",general_inquiry
Cancel my order immediately please,order_cancellation
"please, refund status!",refund_status
"hello, i'd like to exchange?",return_exchange
can i refund inquiry urgently,refund_status
I want to Is this genuine product?!,product_information
Refund inquiry,refund_status
i want to start a return urgently,return_exchange
how do i good afternoon.,general_inquiry
"hey, refund inquiry please",refund_status
"Hey, International shipping thanks",shipping_inquiry
"Hey, When was refund issued? thank you",refund_status
would you can't complete payment please,payment_issues
Fastest shipping option ASAP,shipping_inquiry
"hello, exchange for different size!",return_exchange
could you delivery options.,shipping_inquiry
"excuse me, how do i return an item?.",return_exchange
could you technical specifications,product_information
i want to waiting for refund!,refund_status
could you profile update!,account_issues
is it possible to how does this product work?!,product_information
What are the product details?,product_information
i would like to is anyone there? immediately,general_inquiry
"Please, Air shipping immediately",shipping_inquiry
"hey, item availability.",product_information
"hey, replace my item!",return_exchange
"Hello, General assistance?",general_inquiry
"Please, First time customer urgently",general_inquiry
can i help me please immediately,general_inquiry
I need to More info about the item,product_information
could you can i still cancel my order? ASAP,order_cancellation
"Hello, Delivery days right away",shipping_inquiry
"hey, refund processing time urgently",refund_status
"Hello, Charged but no confirmation",payment_issues
Could you Product quality urgently,product_information
I want to My refund is delayed please,refund_status
"Hi, Problem with checkout urgently",payment_issues
"Excuse me, Account security concern thanks",account_issues
"Hi, Shipping rates thank you",shipping_inquiry
is it possible to what happened to my order? urgently,order_status
How does this work? please,general_inquiry
how do i can you cancel my order for me?.,order_cancellation
i want to reimburse me right away,refund_status
How do I Can't access my account ASAP,account_issues
"hi, connect me to support?",general_inquiry
could you when can i expect my delivery??,order_status
i want to exchange policy immediately,return_exchange
i would like to reset my password please,account_issues
"please, product reviews right away",product_information
Delivery fee!,shipping_inquiry
I need to Credit not received urgently,refund_status
Is it possible to Connect me to support!,general_inquiry
Would you Expedite my refund?,refund_status
would you refund not showing thanks,refund_status
"excuse me, not as described ASAP",complaint
"excuse me, where is my delivery? immediately",order_status
Shipping options,shipping_inquiry
I need to The product is broken.,complaint
would you international shipping.,shipping_inquiry
"hey, this is not what i ordered.",complaint
Could you New arrivals immediately,product_information
"hello, someone else accessing my account thanks",account_issues
"excuse me, very disappointed with the service right away",complaint
how do i i want to track my package,order_status
"excuse me, product description please?",product_information
"hey, product quality immediately",product_information
could you can't access my account ASAP,account_issues
I want to I need to cancel an order immediately,order_cancellation
i need to material information urgently,product_information
Product dimensions,product_information
What's the status of my order?,order_status
would you card not accepted thanks,payment_issues
"excuse me, cancel the items in my order immediately",order_cancellation
"excuse me, update my email ASAP",account_issues
i need to has my order shipped? urgently,order_status
i want to thank you thank you,general_inquiry
would you do you ship to my area?.,shipping_inquiry
i want to i want to cancel my order!,order_cancellation
I need to Expedited shipping thank you,shipping_inquiry
Can I Is my order on the way?!,order_status
i would like to product description please right away,product_information
Is it possible to Is this product good? please,product_information
i need to how to use this product? thank you,product_information
i need to i want my order cancelled today ASAP,order_cancellation
Would you When was refund issued? urgently,refund_status
"please, tell me about this product urgently",product_information
"Hello, Update account information right away",account_issues
"Hey, I want to return this ASAP",return_exchange
"please, help with payment problem now",payment_issues
"Hi, Problem with checkout ASAP",payment_issues
how do i can i cancel my order? immediately,order_cancellation
"hey, delivery fee now",shipping_inquiry
Human agent please,general_inquiry
I need to What products do you have? ASAP,product_information
"hi, money deducted but order failed!",payment_issues
"hello, poor quality product.",complaint
Can I Refund request status.,refund_status
Terrible customer service now,complaint
"Hey, I want to revoke my order?",order_cancellation
Would you This is unacceptable right away,complaint
could you my order hasn't arrived?,order_status
would you quality is very poor?,complaint
I would like to Can I swap this?,return_exchange
I would like to When will I get my refund? please,refund_status
"excuse me, i need to exchange this now",return_exchange
how do i is this product good??,product_information
is it possible to refund inquiry ASAP,refund_status
I would like to Update account information immediately,account_issues
I would like to My refund is delayed immediately,refund_status
"excuse me, how to use this product? urgently",product_information
"excuse me, economy shipping?",shipping_inquiry
could you i want to file a complaint urgently,complaint
"Hi, Money back please ASAP",refund_status
"Hi, Product quality please",product_information
"Hello, How can I contact you?!",general_inquiry
I want to Refund pending.,refund_status
Terrible customer service please,complaint
Hi there,general_inquiry
Can I I want to file a complaint!,complaint
would you what happened to my order? right away,order_status
What products do you have?,product_information
"Please, Refund to credit card?",refund_status
"Hi, Good afternoon?",general_inquiry
"excuse me, how do i cancel my order?!",order_cancellation
"Hello, Payment problem.",payment_issues
Waiting for refund!,refund_status
"Please, This is not what I ordered please",complaint
can i i need my money back now,refund_status
Is it too late to cancel? thanks,order_cancellation
"hello, i was charged twice thanks",payment_issues
is it possible to card declined right away,payment_issues
"hello, how does this work?",general_inquiry
Could you I feel cheated thank you,complaint
"Hello, Speak to representative urgently",general_inquiry
I would like to Forgot password right away,account_issues
"Excuse me, Return process.",return_exchange
I need to Material information now,product_information
"please, replace my item!",return_exchange
is it possible to i need this order cancelled!,order_cancellation
How do I Did my order ship yet??,order_status
I would like to When was refund issued? please,refund_status
"hey, refund confirmation please",refund_status
I no longer want this order,order_cancellation
"hello, i want to track my package.",order_status
would you business hours!,general_inquiry
"excuse me, brand information right away",product_information
could you i demand compensation immediately,complaint
"excuse me, i need to complain urgently",complaint
could you payment gateway error,payment_issues
is it possible to i want to file a complaint thank you,complaint
i would like to i need to cancel asap?,order_cancellation
I would like to How can I contact you?.,general_inquiry
Check my order status,order_status
Could you Return policy,return_exchange
i would like to first time customer right away,general_inquiry
"hello, account locked please",account_issues
i want to i need help right away,general_inquiry
"Please, I'd like to cancel before it ships urgently",order_cancellation
"please, cancel the items in my order now",order_cancellation
"Hey, Initiate return please",return_exchange
i want to my payment was rejected!,payment_issues
Can I Very bad service now,complaint
"Please, Update my email please",account_issues
How do I General assistance please,general_inquiry
"hey, don't ship my order, cancel it!",order_cancellation
i need to is my order on the way? right away,order_status
"hello, change password ASAP",account_issues
"hello, shipping methods urgently",shipping_inquiry
"hi, track my order ASAP",order_status
i need to priority shipping thank you,shipping_inquiry
Where is my package? thank you,order_status
"Hi, Payment error right away",payment_issues
how do i technical specifications please,product_information
"hi, i haven't received my order yet please",order_status
"hey, poor quality product thank you",complaint
"hey, payment stuck!",payment_issues
how do i cancel the items in my order now,order_cancellation
"excuse me, billing issue right away",payment_issues
Could you Refund taking too long thank you,refund_status
Would you What colors does it come in? urgently,product_information
i would like to product malfunction now,complaint
i want to standard shipping.,shipping_inquiry
could you quality is very poor thank you,complaint
i need to waiting for refund thank you,refund_status
can i can't access my account now,account_issues
can i package tracking request urgently,order_status
"hey, i'd like to cancel my purchase immediately",order_cancellation
can i replace my item!,return_exchange
I want to Refund status,refund_status
i would like to i'm very unhappy,complaint
"Hi, Return request now",return_exchange
Account suspended,account_issues
would you i want my order cancelled today please,order_cancellation
"Hi, Two factor authentication issue right away",account_issues
"Hey, Change shipping address now",shipping_inquiry
"hey, item availability now",product_information
I would like to When is refund processed? ASAP,refund_status
"please, i want to revoke my order?",order_cancellation
"Please, I want to file a complaint please",complaint
Would you Check refund status now,refund_status
i need to horrible experience.,complaint
i would like to this is not what i ordered thank you,complaint
Checkout error thanks,payment_issues
I need to Exchange for store credit urgently,return_exchange
would you payment issue with my account right away,payment_issues
i would like to is this product good? right away,product_information
I want to Dissatisfied customer!,complaint
Would you When will I receive my order?.,order_status
"Hi, This is not what I ordered now",complaint
can i international shipping please,shipping_inquiry
is it possible to product quality immediately,product_information
Exchange policy!,return_exchange
"excuse me, i want to send this back",return_exchange
"excuse me, partial refund received right away",refund_status
i would like to payment problem,payment_issues
Is it possible to Refund not showing,refund_status
i would like to money deducted but order failed urgently,payment_issues
i want to i'm very unhappy thank you,complaint
Is it possible to Login credentials not working now,account_issues
i would like to is my package lost? please,order_status
Would you Problem with checkout please,payment_issues
Could you I need to cancel an order?,order_cancellation
Could you Track my recent order thank you,order_status
